epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,960.166,1.7823,2.12416,1.52562,0.52461,0.52829,0.50026,0.2463,1.76419,2.10115,1.5689,0.00333205,0.00333205,0.00333205
2,1838.87,1.70441,1.72789,1.46984,0.52096,0.529,0.50735,0.25458,1.87063,2.17625,1.67881,0.00661039,0.00661039,0.00661039
3,2694.69,1.78298,1.84526,1.54164,0.44859,0.47332,0.44811,0.22932,1.97033,2.34146,1.79586,0.00983373,0.00983373,0.00983373
4,3574.19,1.81202,1.90845,1.5959,0.54173,0.48596,0.49212,0.25012,1.84417,2.30416,1.73219,0.0097525,0.0097525,0.0097525
5,4497.2,1.74652,1.79618,1.55565,0.55762,0.53827,0.53439,0.28068,1.78993,2.12596,1.67645,0.00967,0.00967,0.00967
6,5395.19,1.71279,1.72014,1.53925,0.56815,0.57985,0.57948,0.29999,1.76073,2.01749,1.64205,0.0095875,0.0095875,0.0095875
7,6246.46,1.67376,1.64887,1.51795,0.60054,0.59398,0.59248,0.31641,1.68805,1.94193,1.58769,0.009505,0.009505,0.009505
8,7096.1,1.6467,1.60203,1.50162,0.6046,0.59964,0.60547,0.32844,1.68766,1.94877,1.59707,0.0094225,0.0094225,0.0094225
9,7945.42,1.6181,1.5584,1.48073,0.61513,0.61139,0.61471,0.33566,1.66714,1.93471,1.57849,0.00934,0.00934,0.00934
10,8801.3,1.59889,1.52395,1.4667,0.64148,0.61957,0.63026,0.34645,1.63269,1.85801,1.5552,0.0092575,0.0092575,0.0092575
11,9629.28,1.58081,1.49128,1.45477,0.65638,0.62014,0.63809,0.35266,1.62266,1.84009,1.53345,0.009175,0.009175,0.009175
12,10447.6,1.56536,1.46517,1.44346,0.64935,0.63806,0.65095,0.36089,1.6135,1.81258,1.53144,0.0090925,0.0090925,0.0090925
13,11276.3,1.5494,1.43668,1.42676,0.65796,0.64739,0.65854,0.36591,1.60126,1.77549,1.52604,0.00901,0.00901,0.00901
14,12107.3,1.54081,1.4129,1.42224,0.67102,0.64789,0.66733,0.37687,1.59029,1.7416,1.51829,0.0089275,0.0089275,0.0089275
15,12937.5,1.52629,1.40103,1.41648,0.66161,0.66182,0.67773,0.37925,1.58223,1.73714,1.50945,0.008845,0.008845,0.008845
16,13763.6,1.5101,1.36511,1.40652,0.67874,0.66484,0.6806,0.38597,1.57658,1.71742,1.503,0.0087625,0.0087625,0.0087625
17,14592.4,1.49985,1.35006,1.39885,0.69326,0.66225,0.68847,0.39399,1.55639,1.69071,1.49588,0.00868,0.00868,0.00868
18,15419.3,1.48928,1.3394,1.39492,0.6893,0.67108,0.69017,0.39659,1.54689,1.67914,1.48695,0.0085975,0.0085975,0.0085975
19,16247.3,1.47302,1.31511,1.37808,0.68662,0.6805,0.69012,0.39651,1.54291,1.66438,1.47579,0.008515,0.008515,0.008515
